id,name,duration_ms,popularity,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,format
1gM1LjcNF8mVO15fBVQo99,Halo on Fire (Live),497466,32,0.274,0.91,-7.479,0,0.079,2.49e-05,0.00687,0.844,0.222,137.409,4,2
6Z7Ms0ymWgen8D4hah0aOh,"Scythian Suite, Opus 20 II: The Enemy God And The Dance Of The Dark Spirits (Live)",219240,26,0.437,0.642,-10.793,1,0.0864,0.376,0.0027,0.732,0.16,117.358,4,2
4t8jSEPAKHSRC1Yafv3ZaS,"The Iron Foundry, Opus 19 (Live)",255972,27,0.39,0.72,-8.312,1,0.069,0.00154,0.689,0.982,0.278,131.626,4,2
7uXDpYQbaGmqjhwXCtvCZL,The Unforgiven III (Live),499093,37,0.308,0.481,-9.719,0,0.0332,0.676,8.23e-06,0.875,0.227,120.242,4,2
4kmgecaibuuVDBmlzDO6Du,All Within My Hands (Live),373973,39,0.323,0.618,-8.946,0,0.0312,0.0101,2.89e-05,0.926,0.171,115.195,4,2
6quzKzsLpJPFx5gnM8G1f8,(Anesthesia) - Pulling Teeth (Live),447586,29,0.197,0.545,-12.236,1,0.0794,0.226,0.726,0.757,0.246,104.678,4,2
6pdl7XmUY3rPniqV34IhOx,Wherever I May Roam,392439,32,0.271,0.937,-6.458,1,0.0715,9.88e-06,0.0162,0.22,0.148,137.964,4,0
0Vrmr1TSHM2GszpPPTYU6P,One (Live),563667,32,0.317,0.868,-8.622,0,0.0684,0.00015,0.23,0.74,0.235,123.395,4,2
0osMS4OWFn1VLNbafufEiP,Master of Puppets (Live),509986,32,0.299,0.945,-7.867,1,0.087,6.64e-06,0.00286,0.976,0.223,112.79,4,2
2RvIBAp36T0LLGF59mhZdv,Nothing Else Matters (Live),399600,32,0.274,0.648,-8.703,0,0.0349,0.0123,0.00152,0.977,0.0907,75.465,3,2
1iBjmtQV8VFKGrmkXJq2bW,Enter Sandman (Live),525759,37,0.281,0.95,-7.242,0,0.145,0.000348,0.0184,0.94,0.094,130.205,4,2
2AcKy1BQI9I3ApTH42hiJ3,"Disposable Heroes (Live at The Masonic, San Francisco, CA - November 3rd, 2018)",449595,25,0.26,0.923,-7.047,1,0.138,0.0226,0.0155,0.866,0.347,182.566,3,2
2NekeB2yqC2ZibAYNdncbz,"When A Blind Man Cries (Live at The Masonic, San Francisco, CA - November 3rd, 2018)",274037,24,0.401,0.641,-8.174,0,0.0459,0.0128,0.0,0.458,0.279,77.762,4,2
6obwpZZlFVablrXylXiZ8O,"The Unforgiven (Live at The Masonic, San Francisco, CA - November 3rd, 2018)",439950,27,0.273,0.844,-7.814,1,0.12,0.0531,0.000415,0.385,0.295,79.203,4,2
3JfhXW83sC2StLrHME2gmP,"Please Don't Judas Me (Live at The Masonic, San Francisco, CA - November 3rd, 2018)",482543,23,0.384,0.453,-11.839,0,0.0525,0.057,7.85e-05,0.115,0.234,137.925,4,2
6fItNaeAd5FAF6kvdA9oQd,"Turn the Page (Live at The Masonic, San Francisco, CA - November 3rd, 2018)",382256,26,0.388,0.644,-8.978,1,0.0654,0.028,1.2e-05,0.333,0.29,79.721,4,2
7dlzncZrDLdeP2U7aWfKj5,"Bleeding Me (Live at The Masonic, San Francisco, CA - November 3rd, 2018)",366292,25,0.348,0.569,-8.249,1,0.0399,0.357,0.000133,0.892,0.208,131.17,4,2
2YYPHHUzqXJYdmVzwvRzv4,"Veteran of the Psychic Wars (Live at The Masonic, San Francisco, CA - November 3rd, 2018)",312555,23,0.527,0.721,-8.26,1,0.0719,0.028,0.00154,0.443,0.503,99.436,4,2
